,X,X,X,X,X,X,X,Y,Y,Y
,X.0,X.1,X.2,X.3,X.4,X.5,X.6,Y.0,Y.1,Y.2
0,0.4703966556327233,1.5219629346117038,-0.3365771265715759,-0.5259463463769605,-1.2309245808091824,0.8663379127631696,0.3322612162886365,0.6031824474165152,-0.1517883409916692,-0.7318617081009188
2,0.3257857864798907,0.5029873367289367,-1.4004242150145672,-0.029703490757755212,-2.3899234059542858,-0.45670951646590074,0.7695208035401915,-0.6180265814672847,-0.7347771596193436,0.0900480748092212
3,-1.5127184114110257,-1.0302236481752518,-7.034483825301131,0.9122640539870269,-0.5226763094124183,-1.4103158637253392,-1.782597411227036,-2.745262462474135,2.8765496973517117,4.99382554211955
4,-0.6800137450723682,-0.676001636331625,1.025454746644658,-0.3433451286855191,0.4868185472335244,-0.8073279065432156,0.780988902683108,-0.3716116514694516,-0.7157880109946361,-0.4036543541543035
5,-0.07209488118374822,1.1844611972302284,0.4008712472954939,0.11994785049294708,0.5839996760775844,-0.830199438771669,0.5775952717816992,0.9827583675290352,0.5742125885689106,-0.6815021516738216
6,0.6983526881239475,0.6429022668327038,0.4279525991259165,-0.5069828942786043,-0.6950616692934183,-0.24752939905176377,0.4704068715192077,0.6151391043040527,-0.12563831800649483,-0.9171985056241998
7,-0.35466621291548284,-1.1051635564913411,-1.0502970036989716,0.07825175222362195,7.0344869100478356,0.8427711629144743,0.08008182343786875,-0.3626714216884499,-0.7575284337652478,-0.37639280692624
8,-0.7893216771364016,0.6119402319097459,-0.8910567274908343,-0.5164414050496906,0.6142190125113632,0.6583789172799461,-1.5186394159231764,-0.7695960864832168,-0.5890241420748599,0.18465215289707188
10,0.05314548140445371,-0.30179703231530214,-1.0360231440454133,1.4888493623310577,0.0052613113325995,-0.024198128524751675,-1.6048457695252907,-0.45598580007934314,-0.7523373782216194,0.047624933478937044
11,-0.21552958838567088,-0.059971784173829,0.338769657656698,-0.2223670272375851,2.1046401304646114,-0.70918513027237,0.6704659590259407,0.4786243990524577,-0.31701952760893565,-0.5312448587431524
13,0.9440266937898044,-1.0159183028500842,-1.3575521065057266,-0.7610116047074305,-0.5616816058611327,0.9026201198258307,0.6182103495370194,-0.6765891730298775,-0.729549664640023,-0.07547527116997427
14,-0.38145164626039224,0.7067723641766284,1.7878081624361686,0.5339832958998089,0.8451605933480105,1.533008635370404,2.1931252895265345,2.350723770973439,4.201218864853531,3.2401859201282717
15,-0.18997851409639807,-0.4102157901537774,1.0832226338909376,-0.2651098484850749,0.14891687159792397,-1.346864822297453,-0.7263696785969899,-0.6185167249193934,-0.7269083114935405,0.30170655368183613
16,-0.24122217565809714,0.9454234655305186,0.743509592827447,-0.7281657352992443,1.331304872737732,0.6995769145634179,-0.13267757854970877,1.1040653145458827,0.7972908898621319,-0.34283301513790126
17,1.2664406685971534,-2.1397548635693258,1.2832843886762588,-0.9142576847989886,0.2174134995247922,0.2736190526990848,1.0379239431206935,0.6326492406492389,-0.04952624714825572,-0.49634258548199606
19,1.2852693271751443,-1.1532715555573199,0.2266316500550058,-0.16318490682516798,-1.0532332386926788,0.4393780995996665,-0.5102291847826737,-0.21773466624120547,-0.7294217053761687,-0.14894363449564704
21,-1.0578510138282884,0.5126303567682088,-0.5662974005920489,0.6527692006646965,0.9997706627050691,1.4121607943634982,0.2965727286090043,0.5768895833488971,-0.13780025690347655,0.11762552970227734
22,-1.0011546112990453,0.7398052589237941,-1.0219573048868065,-1.0485727876770592,0.9326422639019205,1.930942529539395,7.0344869100478356,0.20389329051522959,-0.8021097523960168,0.13806539832649586
23,-0.9216807800974866,0.9063842417261578,-0.32782304168566695,-1.1391255762108168,-2.0167803061641925,-1.388541505460731,0.8767773218477436,-1.5024553317723954,0.06422065491091265,1.4226989831073067
24,1.9411477222207247,0.21290952339479471,-1.3786714176859964,-2.5868388711336623,-0.9825736753198556,-0.9911939022478522,-0.24511025292660704,-1.1562427518900424,-0.5647698996009693,2.0550442979442014
25,0.40609626572474244,-0.6133889761909697,-0.28441250188037365,0.28961458097964166,1.819036620425571,0.9401313145773146,0.7357058432584659,1.0412684435315986,0.5310773037169852,0.4094184452357267
26,-1.3097933166700142,0.695932325139011,-0.5373571788050707,0.5435772425700663,-2.085744143528998,-0.16396800582003365,-0.4064420015034867,-1.1410116651157367,-0.40091177497869485,0.8657047344676995
28,1.324359021509231,-0.3464687209712368,0.6383116257445082,0.5726666514182189,1.6329047022911551,0.1068689233282981,-1.3737981655673699,1.3131268007608285,1.3606768937192577,-0.9663993793782276
29,-0.6283393995729358,-0.7752867191962062,0.7655338966777196,1.0180285407137837,-1.1787418346892888,0.9274826674426245,0.18290820421706902,-0.08865077105350587,-0.6890913418540611,-0.4342959032257344
31,-0.4176002016118575,0.6533599418542754,0.3212739619702258,-1.0063717287767426,-1.1957750566732446,0.2821198516793504,1.6313081751441145,-0.11526801858576448,-0.7251833989929034,-0.40377967765956435
32,-0.18148979705963417,-0.7302730467521186,0.7326318843761888,0.8274634965752284,-0.07900140656919784,-0.188890047629516,-0.5892561052299625,-0.1033099219629826,-0.6557370053518967,-0.3474711844901693
33,-1.371258962825082,0.12688660805226362,-1.2785802720071278,-1.063061376838853,0.07266967076651376,1.7162349206228127,-1.216733120471226,-1.504515943183916,0.15653250287622203,0.9281040825741484
34,0.8807708201470363,0.5715448800991294,0.539751417532869,-1.9650358198853155,7.0344869100478356,-1.7132700531117573,-0.33368232787810476,0.5558202176903537,-0.1015045460862087,-0.8120206064359826
36,-0.05537370083533163,0.14399600568215873,0.6794831290851748,1.4403500948595798,-0.33777557438926975,1.0473374331090433,0.04604687291642723,1.2297030243953813,1.0404380680832885,-0.06497261799116301
37,-0.8717884369821308,-0.49474758432212596,-1.064788126619553,-0.5742152526609661,-0.3646369897726136,-1.2698813754804705,-0.31577981255869936,-2.3840744467756085,1.8630240425278322,3.5264493488785664
38,0.011403071439994536,0.36324470725584324,1.50123484534523,0.44968290753861456,-0.019994222923681956,-1.1831346620838454,-0.4719091744440802,0.5505778724292552,-0.22256257438446847,-0.8147626796838873
39,-0.40851363388508827,-0.162364312146375,-2.5985524365198285,0.368466923342099,-0.08744869480709296,-1.046158646353775,0.5281239787297778,-1.1369637079212338,-0.3040453018344321,0.37571442842430325
40,-0.5489510882633502,-1.8850163716583013,0.20966428121513742,-1.3151957971862993,0.18305779623067378,-0.31561821367790655,-1.3314082800561864,-1.963831035325063,0.8437601115978549,2.5876976339141176
42,1.230073169942892,0.22158845214822737,-0.42568406943956866,-1.4440670951286267,0.9589748304671062,0.4757051138240738,-1.4922696803781368,0.2779267618749417,-0.483204301172628,-0.681515942704765
43,-1.853718362913332,-0.9879139054019578,1.2464152485871074,-1.6027217540814758,0.5445150595606891,0.66857143342129,0.6918835784564809,-0.5989160114002863,-0.80027900494396,-0.28265517840720816
44,-1.2171382136435442,-0.523698118777831,0.05076196188641383,-1.2957408729101365,-0.4191827716886909,0.6083979461203955,-0.8418705862741602,-1.6856102798573738,0.47781677210272994,1.446524632874552
45,0.2217962247786129,0.2389972044520398,0.8457623205813811,-0.19691995202232432,0.9859897434149398,0.0003407854601002296,-0.7713298173393545,0.815316895792602,0.27263733419409664,-0.9660670693202813
46,1.1783898372806898,1.3989276691540617,0.9191315449619267,-0.44196920167182974,1.4905783239991122,0.6282013963797531,-0.42495770377594694,2.2606564104172593,3.906638884354399,-0.27572597230010004
47,-0.15609941150853063,0.05027970411863319,-0.5957199352431763,1.6284773721178598,-0.7835852072810654,0.13983564141224034,0.7581530282570474,0.13872252377142127,-0.48850864988829984,-0.5286630329152451
48,-0.445071715934739,0.9722700800020622,1.177362031009649,-1.123391051347768,-1.6249735214355305,0.9529321898804031,-0.8179061966292513,-0.1707373339877658,-0.6973770605492263,-0.37385813482890234
50,1.0986354782729073,-0.8338705234029407,-0.6768766275548934,-0.2479589405782256,0.7193842215983908,-0.9648050516743358,0.3683781177034568,-0.26445692308698293,-0.6533185113234289,-0.4060309017689754
51,0.16229603766715134,0.2652485883720759,1.9829956840080174,2.3790987240475943,-0.3467013732457174,-1.7498911955230518,-0.2979779439902997,0.9081322760045503,0.35709955705373086,-1.0679170980078165
52,-0.39044032983029564,-0.5729593494626117,0.01760464173292492,0.27235060941781103,1.8649443590704264,1.3285219509501522,0.054549072550851264,0.6245362735235154,-0.23018547708435455,-0.06675452811224773
53,0.7198094770742335,2.48259501918857,1.1290415016040793,-0.5451008599140055,-0.07055975195033574,-0.8187101375652578,-1.1649695797927926,0.8758028192057655,0.09605437880354287,-1.1227930369825108
55,0.7749716019833124,-0.5930529811573468,1.2111667273238405,1.3319649320960347,-1.0830171089868874,1.507043505512867,1.5416821870006463,1.7640760872114005,2.142614767776201,0.7963937054553568
56,1.1952636077839154,-1.402129612693187,0.997816817848831,0.45888266164539493,1.7766704139783365,-0.688304326908914,0.2612581399852025,1.1117982846266006,0.9004638411049878,-0.6213635266650849
57,0.35229783446654844,0.3183250303268447,0.07566463450693907,-1.240131453284822,-0.43763722371443176,0.6891683324425726,-0.7044340140037791,-0.1567164614781472,-0.7085889777160153,-0.2501296738878703
59,0.8685395147307163,1.9298736505784115,-0.7084675680004993,0.6122267404953545,1.1335776547386816,0.5220211813310001,-0.05589560001273068,1.8399823750851176,2.6693416994842702,-0.06511275156561117
60,-0.8123171493689755,-0.752589253020553,1.3023911773637986,0.04499603989243684,0.5940122937741108,1.9866212810924588,-1.0850326479005206,0.07676167441688328,-0.5557888971717179,-0.44479526888133664
61,-1.6932485952180245,0.6325144341004577,-1.1898796050123805,0.9637982934727296,0.05579858395857823,-0.9264353087108383,-0.03889345893259923,-0.876808857376119,-0.507528972321255,0.16244530236636354
63,-0.3281328898433413,0.28285049539902407,-0.16539770374865756,0.8392059723820579,7.0344869100478356,0.8544952143385273,-0.3607400892432809,1.0523362649540566,0.6122380376174124,-0.170461359727337
64,0.2475262263319438,-0.034513232250105434,-1.8194051519338812,-0.37877336948554796,0.37590624189966393,-0.5495587454935429,-1.2719799594891543,-1.1250201483251485,-0.3882877982589376,1.3795335999912046
65,-0.16455088973192414,-0.2841005627151795,0.5206824511337881,-1.1079298427999569,0.5543045329459638,0.04124673235233453,-0.004917970788238335,-0.19099938406749956,-0.7418259511749571,-0.40463604804505415
66,-0.11399654656858359,0.17834686099362576,0.19275706335460377,0.23805928189583403,0.2869468783323722,1.152140056189355,-0.2714492453697528,0.7958801980965642,0.04945749037722969,-0.4589485345900954
68,0.6877442798023683,1.2017322384286375,-1.6357187848784738,-0.17159977783696959,-0.21525915644707316,-0.32422653728788253,-0.16702844862518856,0.037818576287744966,-0.6449587722194406,-0.4876120257272489
69,0.45183757179379974,1.709065587847395,-0.6978600690944848,1.352388567293958,-0.3288766057362765,-2.3007621207266133,-0.46243863741695923,0.36039494614228934,-0.43786456716129835,-0.651349790415748
70,-1.4870243701000079,0.5320615138338044,-0.1570052330200849,-0.18846666167834508,-0.5815056820148277,0.06581908470624323,0.5576436325461197,-0.6853820485340818,-0.7045140074001718,-0.22090504947815326
71,-1.1662258226169506,7.0344869100478356,0.009319757963454876,1.2373018286932385,-1.3062001113483892,1.792408860696494,0.0035734827660262457,0.659936032599318,0.01759674305159433,-0.4913363092068888
